Country,GDP,Total_Population,Population_Lack_Access_Safe_Water
Afghanistan,"17,870,159,082","29,105,480","6,558,950"
Albania,"12,959,563,902","3,153,883","159,829"
Algeria,"199,070,864,638","37,762,962","6,937,774"
American Samoa,"333,800,000","55,274",0
Andorra,"3,222,000,000","77,865",0
Angola,"104,115,863,405","20,180,490","10,561,299"
Antigua and Barbuda,"1,094,862,188","88,152","1,763"
Argentina,"446,044,143,596","40,728,738","1,883,598"
Armenia,"10,142,408,118","2,964,120","38,009"
Aruba,"2,584,463,687","101,932","2,039"
Australia,"1,386,889,147,177","22,323,900",0
Austria,"415,611,711,111","8,423,635",0
Azerbaijan,"65,952,763,949","9,173,082","1,937,320"
"Bahamas, The","7,872,584,000","366,331","14,653"
Bahrain,"29,044,457,920","1,292,764",0
Bangladesh,"111,879,121,731","152,862,431","24,231,303"
Barbados,"4,368,900,000","281,804",0
Belarus,"64,271,575,245","9,473,000","71,068"
Belgium,"512,859,722,222","11,047,744",0
Belize,"1,493,100,000","316,280","5,240"
Benin,"7,294,900,431","9,779,795","2,169,684"
Bhutan,"1,833,738,376","729,429","10,377"
Bolivia,"23,948,670,618","10,324,445","2,068,475"
Bosnia and Herzegovina,"18,252,421,795","3,839,322","37,067"
Botswana,"15,292,424,757","1,986,701","93,313"
Brazil,"2,476,652,189,880","196,935,134","24,992,014"
Bulgaria,"53,544,649,410","7,348,328","53,703"
Burkina Faso,"10,395,757,480","15,995,313","1,572,656"
Burundi,"2,355,652,064","9,540,362","1,811,097"
Cambodia,"12,829,541,141","14,605,862","2,123,915"
Cameroon,"25,486,923,059","21,156,272","5,622,666"
Canada,"1,777,788,888,889","34,483,975","278,154"
Cape Verde,"1,864,823,991","490,556","1,094,560"
Cayman Islands,"3,393,000,000","56,601","56,601"
Central African Republic,"2,212,696,612","4,436,217","1,066,078"
Chad,"12,156,380,062","12,080,037","4,215,201"
Chile,"251,190,792,425","17,308,449","1,542,972"
China,"7,321,935,025,070","1,344,130,000","115,126,132"
Colombia,"336,559,866,921","47,078,792","9,570,674"
Comoros,"610,372,697","700,216","51,227"
"Congo, Dem. Rep.","15,700,470,460","63,931,512","23,962,995"
"Congo, Rep.","14,425,606,793","4,225,359","1,890,241"
Costa Rica,"41,032,245,031","4,737,680","275,635"
Cote d'Ivoire,"24,073,812,830","19,389,954","4,032,016"
Croatia,"61,789,184,184","4,280,600","74,257"
Cuba,"68,233,900,000","11,276,053","1,298,922"
Cyprus,"24,851,264,943","1,116,513",0
Czech Republic,"216,011,355,932","10,496,088",0
Denmark,"333,616,014,898","5,570,572",0
Djibouti,"1,361,000,000","846,646","215,356"
Dominica,"484,137,160","71,401","4,775"
Dominican Republic,"55,737,254,720","10,147,598","1,897,235"
Ecuador,"76,769,729,000","15,246,481","1,999,344"
"Egypt, Arab Rep.","236,000,735,704","79,392,466","345,664"
El Salvador,"23,139,000,000","6,256,242","902,103"
Equatorial Guinea,"16,806,886,028","715,996","311,336"
Eritrea,"2,607,739,837","5,932,852","1,758,005"
Estonia,"22,522,780,938","1,339,928","27,945"
Ethiopia,"29,946,934,090","89,393,063","11,505,488"
Fiji,"3,753,485,389","867,921","36,267"
Finland,"262,054,166,667","5,388,272",0
France,"2,779,719,500,000","65,371,613",0
French Polynesia,"7,150,000,000","270,874",0
Gabon,"18,759,558,560","1,594,034","821,243"
"Gambia, The","898,282,866","1,734,966","208,276"
Georgia,"14,434,619,972","4,483,400","94,798"
Germany,"3,624,861,111,111","81,797,673",0
Ghana,"39,564,970,070","24,820,706","3,530,549"
Greece,"289,627,362,871","11,299,976","69,453"
Greenland,"2,343,000,000","56,905",0
Grenada,"816,054,407","105,074","4,386"
Guam,"4,600,000,000","160,858","1,609"
Guatemala,"47,688,885,121","14,706,578","879,194"
Guinea,"5,067,360,041","11,161,530","2,105,511"
Guinea-Bissau,"967,762,549","1,624,228","375,521"
Guyana,"2,576,731,667","790,882","27,048"
Haiti,"7,346,156,703","10,032,864","3,758,377"
Honduras,"17,588,097,150","7,776,669","882,198"
Hungary,"137,448,696,906","9,971,727",0
Iceland,"14,046,371,410","319,014",0
India,"1,872,840,195,945","1,221,156,319","71,775,905"
Indonesia,"846,341,443,778","243,801,639","38,073,493"
"Iran, Islamic Rep.","514,059,508,514","75,424,285","5,676,866"
Iraq,"180,606,795,374","31,760,020","7,608,439"
Ireland,"225,832,965,850","4,576,748",0
Israel,"258,216,880,939","7,765,900",0
Italy,"2,195,014,082,353","60,723,569",0
Jamaica,"14,402,486,059","2,706,500","193,946"
Japan,"5,896,794,887,859","127,817,277",0
Jordan,"28,840,197,019","6,181,000","492,175"
Kazakhstan,"188,049,986,359","16,558,676","964,926"
Kenya,"33,620,684,016","42,027,891","10,067,957"
Kiribati,"172,253,739","99,250","29,037"
"Korea, Dem. Rep.","14,411,000,000","24,631,291","543,573"
"Korea, Rep.","1,114,471,962,886","49,779,000","4,969,983"
Kuwait,"160,912,705,746","3,124,705","31,247"
Kyrgyz Republic,"6,198,838,460","5,514,600","435,259"
Lao PDR,"8,254,088,067","6,521,314","1,554,973"
Latvia,"28,480,338,368","2,058,184","55,747"
Lebanon,"40,094,328,358","4,382,790",0
Lesotho,"2,524,534,245","2,029,516","283,387"
Liberia,"1,537,753,885","4,079,697","999,159"
Lithuania,"42,872,072,871","3,030,173","406,334"
Luxembourg,"57,957,916,667","518,347",0
"Macedonia, FYR","10,439,099,881","2,103,890","12,479"
Madagascar,"9,911,781,297","21,678,934","7,875,978"
Malawi,"5,621,000,678","15,457,531","1,088,276"
Malaysia,"289,258,937,259","28,758,968","209,032"
Maldives,"2,153,636,963","331,964","2,730"
Mali,"10,656,395,534","14,416,737","3,398,499"
Malta,"9,151,793,161","416,676",0
Marshall Islands,"170,700,000","52,495","2,166"
Mauritania,"4,273,232,648","3,702,763","1,838,807"
Mauritius,"11,250,559,553","1,286,051",0
Mexico,"1,159,889,566,239","119,361,233","11,300,413"
"Micronesia, Fed. Sts.","310,287,519","103,424","6,808"
Moldova,"7,015,201,446","3,560,801","137,423"
Monaco,"6,074,506,533","37,261","37,261"
Mongolia,"8,761,426,371","2,754,209","886,177"
Montenegro,"4,501,811,520","620,644","19,640"
Morocco,"99,211,339,029","32,059,424","7,407,384"
Mozambique,"12,568,440,513","24,581,367","8,860,850"
Myanmar,"59,444,000,000","52,350,763","5,705,113"
Namibia,"12,623,100,410","2,217,618","98,799"
Nepal,"19,123,129,346","27,156,367","2,628,691"
Netherlands,"832,009,722,222","16,693,074",0
New Caledonia,"9,840,000,000","254,024","2,540"
New Zealand,"162,634,645,669","4,405,200",0
Nicaragua,"9,635,568,028","5,905,146","1,137,740"
Niger,"6,411,842,066","16,511,462","1,770,200"
Nigeria,"245,682,418,219","164,192,925","63,858,333"
Northern Mariana Islands,"733,000,000","53,230","1,597"
Norway,"491,064,821,429","4,953,088",0
Oman,"69,971,912,138","3,024,774","373,379"
Pakistan,"213,853,864,894","176,166,353","11,512,633"
Palau,"212,903,320","20,606","2,525"
Panama,"31,315,800,000","3,740,282","421,593"
Papua New Guinea,"12,393,604,089","7,012,977","1,262,422"
Paraguay,"26,007,966,687","6,573,097","1,408,522"
Peru,"181,011,064,727","29,614,887","8,384,271"
Philippines,"224,095,219,329","95,053,437","7,118,415"
